log_file,job_name,nodes,gpus_per_node,world_size,tp,pp,cp,dp,seq_len,max_pos,micro_batch_size,global_batch_size,train_iters,num_layers,hidden_size,ffn_hidden_size,num_attention_heads,num_query_groups,attention_backend,transformer_impl,bf16,use_distributed_optimizer,warmup_excluded,num_measured_iters,mean_tok_s_gpu,std_tok_s_gpu,mean_tflops_gpu,mean_iter_ms,min_iter_ms,max_iter_ms,first_loss,final_loss,total_skipped,total_nan
logs/gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s4096-auto-2002514.log,gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s4096-auto-2002514,4,4,16,1,1,1,16,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,31230.4,5316.629,154.183,2158.035,1517.8,2953.9,11.12003,6.69806,0,0
logs/gipfel-throughput-760m-50s-4n-tp2-pp1-cp1-s4096-auto-2011183.log,gipfel-throughput-760m-50s-4n-tp2-pp1-cp1-s4096-auto-2011183,4,4,16,2,1,1,8,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,18083.275,3280.781,89.297,3790.135,2729.4,8744.4,11.13729,6.783964,0,0
logs/gipfel-throughput-760m-50s-4n-tp4-pp1-cp1-s4096-auto-2012064.log,gipfel-throughput-760m-50s-4n-tp4-pp1-cp1-s4096-auto-2012064,4,4,16,4,1,1,4,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,12196.85,1233.16,60.26,5428.325,4537.1,7103.7,11.11643,6.726376,0,0
logs/gipfel-throughput-760m-50s-1n-tp1-pp1-cp1-s4096-auto-2012938.log,gipfel-throughput-760m-50s-1n-tp1-pp1-cp1-s4096-auto-2012938,1,4,4,1,1,1,4,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,40145.8,3302.877,198.188,6573.118,5492.9,7712.1,11.12003,6.73264,0,0
logs/gipfel-throughput-760m-50s-2n-tp1-pp1-cp1-s4096-auto-2013823.log,gipfel-throughput-760m-50s-2n-tp1-pp1-cp1-s4096-auto-2013823,2,4,8,1,1,1,8,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,49102.25,7053.998,242.407,2756.935,2029.5,6616.1,11.12003,6.80455,0,0
logs/gipfel-throughput-760m-50s-8n-tp1-pp1-cp1-s4096-auto-2014173.log,gipfel-throughput-760m-50s-8n-tp1-pp1-cp1-s4096-auto-2014173,8,4,32,1,1,1,32,4096,4096,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,35883.225,6896.729,177.148,946.805,633.4,1360.3,11.12003,6.708637,0,0
logs/gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-2014610.log,gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-2014610,4,4,16,1,1,1,16,4096,4096,4,256,50,48,1600,4352,20,4,auto,transformer_engine,True,True,10,40,34632.35,335.083,351.728,1892.525,1878.6,2001.0,11.13199,7.07358,0,0
logs/gipfel-throughput-1.5b-50s-4n-tp2-pp1-cp1-s4096-auto-2027621.log,gipfel-throughput-1.5b-50s-4n-tp2-pp1-cp1-s4096-auto-2027621,4,4,16,2,1,1,8,4096,4096,4,256,50,48,1600,4352,20,4,auto,transformer_engine,True,True,10,40,20010.025,2601.194,203.25,3334.552,2614.1,4742.4,11.15358,7.064688,0,0
logs/gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s4096-flash-2002660.log,gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s4096-flash-2002660,4,4,16,1,1,1,16,4096,4096,4,256,50,24,1536,4096,16,4,flash,transformer_engine,True,True,10,40,32191.825,5030.131,158.925,2088.25,1476.7,3065.7,11.12003,6.589467,0,0
logs/gipfel-throughput-3b-50s-4n-tp1-pp1-cp1-s4096-auto-2111071.log,gipfel-throughput-3b-50s-4n-tp1-pp1-cp1-s4096-auto-2111071,4,4,16,1,1,1,16,4096,4096,4,256,50,32,3072,8192,24,8,auto,transformer_engine,True,True,10,40,19927.125,1159.419,451.757,3305.548,3245.0,5126.5,11.43125,7.220562,0,0
logs/gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s8192-auto-2119425.log,gipfel-throughput-760m-50s-4n-tp1-pp1-cp1-s8192-auto-2119425,4,4,16,1,1,1,16,8192,8192,4,256,50,24,1536,4096,16,4,auto,transformer_engine,True,True,10,40,24689.35,4173.787,144.25,5475.2,3959.5,8370.6,11.1209,6.721088,0,0
logs/gipfel-throughput-3b-50s-8n-tp1-pp1-cp1-s4096-auto-2292775.log,gipfel-throughput-3b-50s-8n-tp1-pp1-cp1-s4096-auto-2292775,8,4,32,1,1,1,32,4096,4096,4,256,50,32,3072,8192,24,8,auto,transformer_engine,True,True,10,40,18311.475,2804.942,415.13,1858.645,1683.3,3809.5,11.43125,7.145529,0,0
logs/gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-cuda_graph_te-2293512.log,gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-cuda_graph_te-2293512,4,4,16,1,1,1,16,4096,4096,4,256,50,48,1600,4352,20,4,auto,transformer_engine,True,True,10,40,33917.475,361.856,344.473,1932.445,1919.2,2060.2,11.13199,7.158224,0,0
logs/gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-eager-moe-2348512.log,gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-eager-moe-2348512,4,4,16,1,1,1,16,4096,4096,4,256,50,48,1600,4352,20,4,auto,transformer_engine,True,True,10,40,17173.425,1356.086,174.41,3841.137,3396.2,4983.8,11.15775,7.353423,0,0
logs/gipfel-throughput-4.5b-50s-4n-tp1-pp1-cp1-s4096-auto-2348510.log,gipfel-throughput-4.5b-50s-4n-tp1-pp1-cp1-s4096-auto-2348510,4,4,16,1,1,1,16,4096,4096,1,256,50,41,3072,8192,24,8,auto,transformer_engine,True,True,10,40,14920.225,914.098,429.493,4414.52,4304.7,6416.2,11.45948,7.177712,0,0
logs/gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-eager-fp8-2319594.log,gipfel-throughput-1.5b-50s-4n-tp1-pp1-cp1-s4096-auto-eager-fp8-2319594,4,4,16,1,1,1,16,4096,4096,4,256,50,48,1600,4352,20,4,auto,transformer_engine,True,True,10,40,39851.875,184.182,404.733,1644.535,1632.5,1668.4,11.1377,6.863955,0,0
